No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,七星碧玉刀, 1.49 GiB,1920 * 1080, 1h 39mn,2149 Kbps,东方电影修复版,,七星碧玉刀.(上影1991).mkv
2,七月流火, 2.85 GiB,1280 * 720, 1h 33mn,4363 Kbps,东方电影修复版,,七月流火.1981 上影 东方电影频道.mp4
3,二十年后再相会, 2.71 GiB,1200 * 720, 1h 34mn,4115 Kbps,东方电影修复版,,二十年后再相会.Meeting.20.Years.Later.1984.HDTV.720p.x264-CZW.mkv
4,仇恋, 1.58 GiB,1280 * 720, 1h 37mn,2313 Kbps,东方电影修复版,,仇恋.(上影1993).mkv
5,千里寻梦, 2.88 GiB,1280 * 720, 1h 33mn,4407 Kbps,东方电影修复版,,千里寻梦.1991.mkv
6,咱们的牛百岁, 1.60 GiB,1280 * 720, 1h 34mn,2417 Kbps,东方电影修复版,,咱们的牛百岁.(上影1983).mkv
7,城南旧事, 1.34 GiB,1920 * 1080, 1h 28mn,2168 Kbps,东方电影修复版,,城南旧事.(上影1983).mkv
8,多彩的晨光, 2.79 GiB,1280 * 720, 1h 31mn,4341 Kbps,东方电影修复版,,多彩的晨光.1984.mp4
9,大桥下面, 2.06 GiB,1200 * 720, 1h 49mn,2707 Kbps,东方电影修复版,,大桥下面.(上影1983).mp4
10,天云山传奇, 4.91 GiB,1280 * 720, 2h 0mn,5816 Kbps,东方电影修复版,,天云山传奇.(上影1980).mkv
11,女大学生宿舍, 1.75 GiB,1200 * 720, 1h 26mn,2893 Kbps,东方电影修复版,,女大学生宿舍.(上影1983).mp4
12,姑娘今年二十八, 1.34 GiB,1280 * 720, 1h 35mn,2020 Kbps,东方电影修复版,,姑娘今年二十八.(上影1984).mkv
13,子夜, 2.02 GiB,1280 * 720, 2h 21mn,2049 Kbps,东方电影修复版,,子夜.(上影1981).mkv
14,小街, 2.20 GiB,1200 * 720, 1h 40mn,3136 Kbps,东方电影修复版,,小街.(上影1981).mkv
15,山间铃响马帮来, 2.05 GiB,1280 * 720, 1h 26mn,3410 Kbps,东方电影修复版,,山间铃响马帮来.(上影1954).mkv
16,月亮湾的风波, 2.19 GiB,1200 * 720, 1h 34mn,3339 Kbps,东方电影修复版,,月亮湾的风波.1984.mkv
17,月随人归, 2.79 GiB,1280 * 720, 1h 30mn,4405 Kbps,东方电影修复版,,月随人归.1990.mkv
18,楚天风云, 1.38 GiB,1280 * 720, 1h 31mn,2149 Kbps,东方电影修复版,,楚天风云.(上影1981).mkv
19,牧马人, 1.50 GiB,1280 * 720, 1h 39mn,2170 Kbps,东方电影修复版,,牧马人.(上影1982).mkv
20,独行客, 3.13 GiB,1280 * 720, 1h 42mn,4370 Kbps,东方电影修复版,,独行客.1989.mkv
21,童年的朋友, 3.83 GiB,1280 * 720, 1h 33mn,5847 Kbps,东方电影修复版,,童年的朋友.(1984).mkv
22,股啊股(上影2001), 1.36 GiB,1920 * 1080, 1h 31mn,2131 Kbps,东方电影修复版,,股啊股(上影2001).mkv
23,莺燕桃李, 1.59 GiB,1200 * 720, 1h 28mn,2562 Kbps,东方电影修复版,,莺燕桃李.(上影1984).mkv
24,蓝天鸽哨, 3.49 GiB,1280 * 720, 1h 25mn,5840 Kbps,东方电影修复版,,蓝天鸽哨.(1983).mkv
25,车轮四重奏, 1.56 GiB,1200 * 720, 1h 29mn,2502 Kbps,东方电影修复版,,车轮四重奏.(上影1984).mkv
26,阿Q正传, 3.61 GiB,1280 * 720, 1h 48mn,4768 Kbps,东方电影修复版,,阿Q正传.1981.上影.东方电影720p.HDTV.mkv
27,阿满的喜剧之14多管闲事, 1.62 GiB,1280 * 720, 1h 29mn,2596 Kbps,东方电影修复版,,阿满的喜剧之14多管闲事.(上影1991).mkv
28,阿福哥的桃花运, 2.62 GiB,1280 * 720, 1h 25mn,4398 Kbps,东方电影修复版,,阿福哥的桃花运.1990.mkv
29,陈毅市长, 1.52 GiB,1200 * 720, 1h 37mn,2244 Kbps,东方电影修复版,,陈毅市长.(上影1981).mkv
30,雷雨, 1.54 GiB,1280 * 720, 1h 53mn,1947 Kbps,东方电影修复版,,雷雨.(上影1984).mkv
31,革命军中马前卒, 1.07 GiB,1280 * 720, 1h 34mn,1623 Kbps,东方电影修复版,,革命军中马前卒.(上影1981).mkv
32,飞刀华, 1.39 GiB,1920 * 1080, 1h 32mn,2148 Kbps,东方电影修复版,,飞刀华.(海燕1963).mkv
